Island_Name,ZoneName,Cluster_DepthBin_ID,Depth_ft_mn,Longitude_DD_mn,Latitude_DD_mn,CoralBleached_Perc_mn,SiteSuscp_mn,DHW.MeanMax.YR01_mn,DHW.MeanMax.YR10YR01_mn,SST_Variability_AllB4_mn,PAR_surface_mn,kdPAR_mn,TotalEffluent_mn,WaveAction_value_mn,AgGolf_runoff_mn,Urban_runoff_mn,TourRec_10yrAvgPUD_mn,PctBleached_hist_mn,Obs_Year,Weights_DriversAndSpatialAnalysis,Weights_TemporalAnalysis
Maui,Maui_S,254 Shallow,10,-156.44382,20.62521,10,3.1,5.570000172,3.700000107,2.633050243,48.35884933,0.053317647,3448.403937,0,0.299486957,0.179131219,103,7.031746032,2019,0.033604988,
Maui,Maui_W,255 Shallow,12,-156.46017,20.73905,35,2.514056225,3.380000114,2.904999912,2.661886863,45.84337425,0.060787499,4668.926843,0,0.105861152,0.145986369,103.5500031,53.34615741,2019,0.447213595,0.276196877
Maui,Maui_W,256 Shallow,13.5,-156.463365,20.76354,30,3.514619883,1.980000019,2.444999948,2.560000042,44.13687515,0.061333332,695.6129425,0,0.257221412,0.155957868,90.29999924,53.34615741,2019,1,1
Maui,Maui_S,257 Shallow,16,-156.41389,20.591,5,3.02,5.989999771,4.100000024,2.633773552,48.37762451,0.054476471,141.4710693,0,0.000771208,0.022862817,29.5,7.031746032,2019,0.033604988,
Maui,Maui_W,258 Mid,24,-156.47572,20.77717,30,2.736842105,1.980000019,2.444999948,2.560000042,44.13687515,0.061333332,136.4882216,0,0.17226436,0.043646406,18.10000038,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,259 Shallow,5,-156.46892,20.78484,15,3.625,1.980000019,2.444999948,2.560000042,NA,NA,1047.378818,NA,0.840062663,0.204735411,88.80000305,53.34615741,2019,0.033604988,0.028187795
Maui,Maui_W,26 Mid,36.5,-156.449505,20.711155,28,2.71627907,3.215000033,2.744999968,2.644434011,47.20825959,0.060241666,16828.45276,0,0.287313471,0.172604102,176.7499924,53.34615741,2019,1,1
Maui,Maui_W,26 Shallow,9.4,-156.4475864,20.7094828,24.8,2.907407407,1.105999994,2.585000023,2.619974849,48.13156128,0.060241666,20209.83424,0,0.310687561,0.184611365,168.8999939,53.34615741,2019,0.217532614,0.134347053
Maui,Maui_W,260 Shallow,8,-156.477555,20.789965,7.5,3.150735294,1.980000019,2.444999948,2.560000042,NA,NA,281.0175703,NA,0.727002379,0.147921787,34.5,53.34615741,2019,0.409126993,0.252674782
Maui,Maui_W,261 Shallow,10,-156.48716,20.794125,22.5,3.061313077,1.980000019,2.444999948,2.560000042,44.13687515,NA,1974.716194,0,0.585379191,0.080043114,25.70000076,53.34615741,2019,0.71786928,0.443352472
