,Island,Bleached,Depth_ft,Taxon,SST
1682,Oahu,20.0,22.0,PLOB,2.493584975
1683,Oahu,0.0,35.0,PLOB,2.497735833
1684,Oahu,0.0,41.0,PLOB,2.505471679
1685,Oahu,0.0,32.0,PLIC,2.497735833
1686,Oahu,0.0,44.0,PLOB,2.502641534
1687,Oahu,75.0,26.0,PLUT,2.494528357
1688,Oahu,10.0,16.0,PLOB,2.495848998
1689,Oahu,15.0,15.0,PLOB,2.494528357
1690,Oahu,5.0,8.0,PLOB,2.497735833
1691,Oahu,20.0,14.0,PLOB,2.493584975
1692,Oahu,50.0,98.0,PLOB,2.53566033
1693,Oahu,100.0,84.0,MCAP,2.528301959
1694,Oahu,100.0,88.0,MCAP,2.522264049
1695,Oahu,50.0,64.0,PLOB,2.509245423
1696,Oahu,100.0,61.0,MCAP,2.536226453
1697,Oahu,50.0,21.0,PLIC,2.509245423
1698,Oahu,100.0,32.0,PMEA,2.528301959
1699,Oahu,90.0,22.0,PMEA,2.530188542
1700,Oahu,90.0,23.0,PLIC,2.522264049
1701,Oahu,70.0,33.0,PMEA,2.522452877
1702,Oahu,90.0,30.0,PMEA,2.528301959
1703,Oahu,60.0,15.0,PLIC,2.509245423
1704,Oahu,50.0,36.0,PLOB,2.522452877
1705,Oahu,90.0,11.0,PMEA,2.509245423
1706,Oahu,100.0,16.0,MCAP,2.528301959
1707,Oahu,90.0,15.0,PMEA,2.528301959
1708,Oahu,90.0,13.0,PMEA,2.530188542
1709,Oahu,100.0,6.0,MFLA,2.509245423
1710,Oahu,50.0,29.0,PMEA,2.558301782
1711,Oahu,50.0,12.0,PMEA,2.55283021
1712,Oahu,1.0,60.0,PMEA,2.55283021
1713,Oahu,1.0,75.0,PLOB,2.55283021
1714,Oahu,5.0,65.0,PLOB,2.55283021
1715,Oahu,4.0,14.0,PMEA,2.561320791
1716,Oahu,50.0,28.0,PMEA,2.55283021
1717,Oahu,100.0,50.0,PMEA,2.55283021
1718,Oahu,10.0,25.0,PMEA,2.55283021
1719,Oahu,70.0,49.0,PMEA,2.561320791
1720,Oahu,100.0,15.0,PMEA,2.558301782
1721,Oahu,50.0,18.0,PMEA,2.588490648
1722,Oahu,70.0,13.0,PMEA,2.55283021
1723,Oahu,80.0,36.0,PMEA,2.572830056
1724,Oahu,100.0,30.0,PMEA,2.589811289
1725,Oahu,10.0,29.0,MPAT,2.596792437
1867,Maui,10.0,11.0,PLOB,2.607830102
1868,Maui,0.0,7.0,PLOB,2.617594341
1869,Maui,40.0,7.0,PLOB,2.617594341
1870,Maui,5.0,6.0,PLOB,
1871,Maui,0.0,11.0,PLOB,
1872,Hawaii,1.0,20.0,PLOB,2.634842819
1873,Hawaii,20.0,27.0,PLOB,
1874,Hawaii,0.0,19.0,PLOB,2.646792545
1875,Hawaii,1.0,22.0,PLOB,2.651132116
1876,Hawaii,5.0,35.0,PMON,2.646792545
1877,Hawaii,10.0,28.0,PCOM,2.651132116
1878,Hawaii,5.0,40.0,PLOB,
1879,Hawaii,2.0,20.0,PLOB,2.640000164
1880,Hawaii,5.0,40.0,PCOM,2.630754903
1881,Hawaii,2.0,19.0,PLOB,2.630754903
1882,Hawaii,1.0,38.0,PLOB,
1883,Hawaii,5.0,18.0,PLOB,
1884,Hawaii,10.0,40.0,PLOB,2.618962198
1885,Hawaii,0.0,37.0,PCOM,2.64584918
1886,Hawaii,1.0,14.0,MCAP,2.646792545
1887,Hawaii,0.0,38.0,PCOM,2.640188809
1888,Hawaii,0.0,9.0,PLOB,2.640188809
1889,Hawaii,0.0,35.0,PLOB,2.639622814
1890,Hawaii,30.0,40.0,PLOB,2.620943321
1891,Hawaii,2.0,17.0,PLOB,2.620943321
1892,Hawaii,0.0,45.0,PCOM,2.634842819
1893,Hawaii,10.0,35.0,PLOB,2.630754903
1894,Hawaii,20.0,39.0,PLOB,2.633018961
1895,Hawaii,1.0,20.0,PLOB,2.633018961
1896,Hawaii,0.0,39.0,PLOB,2.646792545
1897,Hawaii,1.0,16.0,PLOB,2.64584918
1898,Hawaii,0.0,15.0,PLOB,
1899,Hawaii,30.0,41.0,PLOB,2.626981087
1900,Hawaii,5.0,24.0,PLOB,2.626981087
1901,Hawaii,15.0,40.0,PLOB,2.619622807
1902,Hawaii,2.0,17.0,PLOB,2.62075489
1903,Hawaii,0.0,36.0,PCOM,2.64584918
1904,Hawaii,0.0,20.0,PLOB,2.630754903
1905,Hawaii,0.0,14.0,PLOB,2.620943321
1906,Hawaii,5.0,37.0,PLOB,
0,Hawaii,0.0,25.0,PLOB,2.66594338
1,Hawaii,20.0,40.0,PLOB,2.67698126
2,Hawaii,60.0,42.0,PCOM,2.660943409
3,Hawaii,10.0,35.0,PMEA,2.477962134
4,Hawaii,2.0,42.0,PLOB,2.4812579
5,Hawaii,20.0,16.0,MCAP,2.47889491
6,Hawaii,1.0,45.0,PCOM,2.63471715
7,Hawaii,30.0,42.0,PLOB,
8,Hawaii,50.0,42.0,PCOM,
9,Hawaii,80.0,32.0,PLOB,2.666981139
10,Hawaii,20.0,40.0,PLOB,2.651320799
11,Hawaii,80.0,34.0,PCOM,
12,Hawaii,40.0,37.0,PLOB,2.654528427
14,Hawaii,40.0,47.0,PLOB,2.66594338
15,Hawaii,30.0,40.0,PLOB,
16,Hawaii,20.0,46.0,PLOB,2.655849205
17,Hawaii,30.0,31.0,PLOB,2.664676522
18,Hawaii,15.0,8.0,PMEA,2.640838739
20,Hawaii,50.0,28.0,PLOB,2.663836473
21,Hawaii,15.0,20.0,PLOB,2.663962058
22,Hawaii,80.0,11.0,PCOM,
25,Hawaii,20.0,10.0,PMEA,2.624339806
26,Hawaii,25.0,46.0,PGRA,2.62320765
1588,Hawaii,50.0,15.0,PDUE,2.660985355
1589,Hawaii,0.0,10.0,MFLA,2.660817632
1590,Hawaii,40.0,8.0,PDUE,2.664150958
1591,Hawaii,100.0,20.0,PDUE,2.665849146
1592,Hawaii,5.0,13.0,PLUT,2.630754903
1593,Hawaii,100.0,10.0,PMEA,2.639622814
1594,Hawaii,10.0,5.0,PLUT,
1595,Lanai,20.0,16.0,MPAT,2.686981165
1596,Lanai,0.0,67.0,PLOB,2.686981165
1597,Lanai,10.0,61.0,MCAP,2.663962238
1598,Lanai,0.0,38.0,PCOM,
1599,Lanai,10.0,28.0,MPAT,2.663962238
1600,Lanai,15.0,38.0,MCAP,2.657358529
1601,Lanai,5.0,47.0,PLOB,2.686981165
1602,Lanai,10.0,46.0,MPAT,2.657358529
1603,Lanai,25.0,15.0,MPAT,
1604,Lanai,0.0,4.0,PCOM,
1605,Lanai,10.0,21.0,MPAT,2.663962238
1606,Lanai,2.0,35.0,MPAT,2.663962238
1607,Lanai,1.0,15.0,PLOB,2.665849038
1608,Lanai,2.0,15.0,PLOB,2.700377338
1609,Lanai,1.0,32.0,PLOB,2.673056628
1610,Lanai,1.0,50.0,PLOB,2.700377338
1611,Maui,90.0,52.0,MCAP,2.633207357
1612,Maui,40.0,57.0,MCAP,2.661886863
1613,Maui,100.0,39.0,PMEA,2.659245281
1614,Maui,0.0,43.0,PCOM,2.601509346
1615,Maui,5.0,53.0,PCOM,2.659371054
1616,Maui,25.0,27.0,PLOB,
1617,Maui,5.0,18.0,MPAT,
1618,Maui,0.0,16.0,MPAT,2.654503125
1619,Maui,0.0,13.0,MPAT,2.65186791
1620,Maui,5.0,64.0,PCOM,2.634339423
1621,Maui,10.0,21.0,PCOM,2.655735826
1622,Maui,80.0,23.0,PLOB,2.676415066
1623,Maui,100.0,32.0,MPAT,2.676415066
1624,Maui,50.0,32.0,PLOB,2.655282996
1625,Maui,5.0,13.0,PCOM,2.585282992
1626,Maui,50.0,21.0,PGRA,2.585282992
1627,Maui,20.0,8.0,PLOB,2.589999984
1628,Maui,90.0,12.0,PMEA,2.608867825
1629,Maui,100.0,15.0,PMEA,2.617594341
1630,Maui,85.0,12.0,MCAP,2.619245277
1631,Maui,0.0,9.0,PLOB,2.654503125
1632,Maui,15.0,9.0,PMEA,2.632731582
1633,Maui,5.0,9.0,PMEA,2.632731582
1634,Maui,0.0,16.0,PLOB,2.653638732
1635,Maui,50.0,8.0,MPAT,2.632651917
1636,Maui,80.0,7.0,PMEA,
1637,Maui,100.0,14.0,MCAP,2.618805027
1638,Maui,10.0,10.0,MFLA,2.634905761
1639,Maui,5.0,11.0,PLOB,2.634905761
1640,Maui,100.0,11.0,PLUT,2.677358447
1641,Maui,15.0,11.0,MCAP,2.59198107
1642,Maui,10.0,11.0,MPAT,2.652494754
1643,Maui,30.0,7.0,PMEA,2.659245281
1644,Maui,50.0,15.0,PLUT,2.652494754
1645,Maui,100.0,10.0,MCAP,2.649119491
1646,Maui,15.0,18.0,MPAT,2.626981159
1647,Maui,5.0,49.0,PCOM,2.659245281
1648,Maui,10.0,36.0,PLOB,2.659245281
1649,Maui,0.0,45.0,MPAT,
1650,Maui,0.0,61.0,MPAT,2.661886863
1651,Maui,20.0,28.0,PLOB,2.619974849
1652,Maui,100.0,44.0,MCAP,2.620566026
1653,Maui,30.0,38.0,PCOM,2.620566026
1654,Maui,20.0,36.0,PLOB,2.620566026
1655,Maui,85.0,33.0,MCAP,2.620566026
1656,Maui,100.0,28.0,PMEA,2.620566026
1657,Maui,25.0,48.0,PCOM,2.632452911
1658,Maui,80.0,10.0,MPAT,2.632452911
1659,Maui,10.0,33.0,PCOM,2.632452911
1660,Maui,5.0,33.0,MPAT,2.659371054
1661,Maui,5.0,33.0,PLOB,2.633207357
1662,Oahu,20.0,45.0,PLUT,2.495848998
1663,Oahu,1.0,42.0,POSP,2.55283021
1664,Oahu,50.0,40.0,PMEA,2.589245274
1665,Oahu,100.0,88.0,MCAP,2.523584834
1666,Oahu,100.0,71.0,MCAP,2.530566054
1667,Oahu,10.0,86.0,MPAT,2.506981112
1668,Oahu,30.0,88.0,MCAP,2.523584834
1669,Oahu,50.0,52.0,PMEA,2.530566054
1670,Oahu,0.0,34.0,PVAR,2.506981112
1671,Oahu,5.0,29.0,PLOB,2.530566054
1672,Oahu,0.0,51.0,PLOB,2.506981112
1673,Oahu,65.0,18.0,MPAT,2.530566054
1674,Oahu,10.0,14.0,PCOM,2.506981112
1675,Oahu,95.0,19.0,MCAP,2.506981112
1676,Oahu,100.0,9.0,PLOB,2.506981112
1677,Oahu,0.0,89.0,PMEA,2.494528357
1678,Oahu,0.0,75.0,PLOB,2.514905606
1679,Oahu,0.0,64.0,PMEA,2.49999982
1680,Oahu,50.0,67.0,PLOB,2.497735833
1681,Oahu,20.0,36.0,PLOB,2.494528357
1682,Oahu,0.0,22.0,MPAT,2.493584975
1683,Oahu,0.0,35.0,PMEA,2.497735833
1684,Oahu,0.0,41.0,MPAT,2.505471679
1685,Oahu,0.0,32.0,PLOB,2.497735833
1686,Oahu,20.0,44.0,PLUT,2.502641534
1687,Oahu,5.0,26.0,PMEA,2.494528357
1688,Oahu,10.0,16.0,PMEA,2.495848998
1689,Oahu,85.0,15.0,MFLA,2.494528357
1690,Oahu,90.0,8.0,MFLA,2.497735833
1691,Oahu,50.0,14.0,MCAP,2.493584975
1692,Oahu,80.0,98.0,MCAP,2.53566033
1693,Oahu,0.0,84.0,PLOB,2.528301959
